eng,zho,afr,ara,cat,deu,ell,fin,fra,gle,hin,hrv,hun,ind,ita,jpn,kor,nld,nor,pol,por,ron,rus,spa,srp,swa,swe,tha,tur,vie,amh,asm,aze,bul,ben,bod,bos,ces,cym,dan,dsb,div,est,eus,fas,fil,fij,fao,glg,gom,guj,hau,heb,hsb,hat,hye,ibo,ikt,isl,iku,kat,kaz,khm,kmr,kan,kur,kir,lin,lao,lit,lav,lzh,mai,mlg,mri,mkd,mon,mar,msa,mlt,mww,mya,nob,nep,nso,ori,otq,pan,prs,pus,kin,snd,sin,slk,slv,smo,sna,som,sqi,sot,tam,tel,tir,tuk,tlh,tsn,ton,tat,tah,uig,ukr,uzb,xho,yor,yua,yue,zul
en,zh,af,ar,ca,de,el,fi,fr,ga,hi,hr,hu,id,it,ja,ko,nl,no,pl,pt,ro,ru,es,sr,sw,sv,th,tr,vi,am,as,az,bg,bn,bo,bs,cs,cy,da,dsb,dv,et,eu,fa,fil,fj,fo,gl,gom,gu,ha,he,hsb,ht,hy,ig,ikt,is,iu,ka,kk,km,kmr,kn,ku,ky,ln,lo,lt,lv,lzh,mai,mg,mi,mk,mn,mr,ms,mt,mww,my,nb,ne,nso,or,otq,pa,prs,ps,rw,sd,si,sk,sl,sm,sn,so,sq,st,ta,te,ti,tk,tlh,tn,to,tt,ty,ug,uk,uz,xh,yo,yua,yue,zu
6 Best Loved Spanish Literary Classics,六大最受欢迎的西班牙文学经典,6 Beste geliefde Spaanse literêre klassieke,6 أفضل كلاسيكيات أدبية إسبانية محبوبة,6 clàssics literaris espanyols més estimats,Die 6 beliebtesten spanischen Literaturklassiker,6 πιο αγαπημένα ισπανικά λογοτεχνικά κλασικά,6 rakastetuinta espanjalaista kirjallisuuden klassikkoa,6 classiques littéraires espagnols les plus appréciés,6 Clasaicí Liteartha na Spáinne is Fearr Grá,6 सर्वश्रेष्ठ पसंदीदा स्पेनिश साहित्यिक क्लासिक्स,6 najomiljenijih španjolskih književnih klasika,6 legkedveltebb spanyol irodalmi klasszikus,6 Sastra Klasik Spanyol yang Paling Dicintai,I 6 classici della letteratura spagnola più amati,最も愛されているスペイン文学の古典6選,가장 사랑받는 스페인 문학 고전 6선,6 meest geliefde Spaanse literaire klassiekers,6 best elskede spanske litterære klassikere,6 najbardziej lubianych hiszpańskich klasyków literatury,6 Clássicos Literários Espanhóis Mais Amados,6 cei mai iubiți clasici literari spanioli,6 самых любимых классических произведений испанской литературы,Los 6 clásicos literarios españoles más queridos,6 najomiljenijih španskih književnih klasika,6 Classics bora za fasihi ya Kihispania,6 mest älskade spanska litterära klassiker,6 วรรณกรรมคลาสสิกสเปนที่รักที่สุด,En Sevilen 6 İspanyol Edebi Klasiği,6 tác phẩm văn học kinh điển Tây Ban Nha được yêu thích nhất,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventure,冒险,Avontuur,مغامرة,Aventura,Abenteuer,Περιπέτεια,Seikkailu,Aventure,Eachtraíocht,साहसिक कार्य,Pustolovina,Kaland,Petualangan,Avventura,冒険,모험,Avontuur,Eventyr,Przygoda,Aventura,Aventură,Приключение,Aventura,Avantura,Adventure,Äventyr,การผจญภัย,Macera,Mạo hiểm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,非洲,Afrika,أفريقيا,Àfrica,Afrika,Αφρική,Afrikka,Afrique,An Afraic,अफ़्रीका,Afrika,Afrika,Afrika,Africa,アフリカ,아프리카,Afrika,Afrika,Afryka,África,Africa,Африка,África,Africi,Afrika,Afrika,แอฟริกา,Afrika,Châu Phi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African American Writers,非洲裔美国作家,Afro -Amerikaanse skrywers,الكتاب الأمريكيون من أصل أفريقي,Escriptors afroamericans,Afroamerikanische Schriftsteller,Αφροαμερικανοί συγγραφείς,Afrikkalaisamerikkalaiset kirjailijat,Écrivains afro-américains,Scríbhneoirí Afracacha Meiriceánacha,अफ्रीकी अमेरिकी लेखक,Afroamerički pisci,Afroamerikai írók,Penulis Afrika-Amerika,Scrittori afroamericani,アフリカ系アメリカ人の作家,아프리카계 미국인 작가,Afro-Amerikaanse schrijvers,Afroamerikanske forfattere,Pisarze afroamerykańscy,Escritores afro-americanos,Scriitori afro-americani,Афроамериканские писатели,Escritores afroamericanos,Afroamerički pisci,Waandishi wa Kiafrika wa Amerika,Afroamerikanska författare,นักเขียนแอฟริกันอเมริกัน,Afro-Amerikan Yazarlar,Nhà văn người Mỹ gốc Phi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal,动物,Dier,,Animal,Tier,Ζώο,Eläin,Animal,Ainmhí,जानवर,Životinja,Állat,Binatang,Animale,動物,동물,Dier,Dyr,Zwierzę,Animal,Animal,Животное,Animal,Životinja,Wanyama,Djur,,Hayvan,Con vật,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animals-Domestic,家养动物,Diere-huishoudelike,الداجنة,Animals-Domèstics,Tiere-Haustiere,Ζώα-Κατοικίδια,Eläimet-kotieläimet,Animaux domestiques,Ainmhithe-Baile,पशु-घरेलू,Životinje-domaće,Állatok-Házi,Hewan-Domestik,Animali-Domestici,動物-家畜,동물-국내,Dieren-Huishoudelijk,Dyr-Husdyr,Zwierzęta-Domowe,Animais-Domésticos,Animale-domestice,Животные-Домашние,Animales-Domésticos,Životinje-Domaće,Wanyama-Domestic,Djur-Hushåll,สัตว์-ในประเทศ,Hayvanlar-Evcil,Động vật-Trong nước,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animals-Wild-Birds,野生鸟类,Diere-wilde-voëls,البرية الطيور,Animals-Ocells-Salvatges,Tiere-Wildvögel,Ζώα-Άγρια-Πουλιά,Eläimet-luonnonvaraiset linnut,Animaux-Oiseaux-Sauvages,Ainmhithe-Éin Fhiáine,पशु-जंगली-पक्षी,Životinje-divlje ptice,Állatok-Vadon élő madarak,Hewan-Liar-Burung,Animali-Uccelli-selvatici,動物-野-鳥,동물-야생-조류,Dieren-Wilde-Vogels,Dyr-villfugler,Zwierzęta-Dzikie-Ptaki,Animais-Pássaros-Selvagens,Animale-Păsări sălbatice,Животные-Дикие-Птицы,Animales-Aves Silvestres,Životinje-divlje ptice,Wanyama-Wanyama-Birds,Djur-Vilda-Fåglar,สัตว์-นกป่า,Hayvanlar-Yabani-Kuşlar,Động vật-Hoang dã-Chim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,建筑,Argitektuur,معمار,Arquitectura,Architektur,Αρχιτεκτονική,Arkkitehtuuri,Architecture,Ailtireacht,स्‍थापत्‍यशैली,Arhitektura,Építészet,Arsitektur,Architettura,建築,건축학,Architectuur,Arkitektur,Architektura,Arquitetura,Arhitectură,Архитектура,Arquitectura,Arhitektura,Usanifu,Arkitektur,สถาปัตยกรรม,Mimarlık,Kiến trúc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
