eng,zho,afr,ara,cat,deu,ell,fin,fra,gle,hin,hrv,hun,ind,ita,jpn,kor,nld,nor,pol,por,ron,rus,spa,srp,swa,swe,tha,tur,vie,amh,asm,aze,bul,ben,bod,bos,ces,cym,dan,dsb,div,est,eus,fas,fil,fij,fao,glg,gom,guj,hau,heb,hsb,hat,hye,ibo,ikt,isl,iku,kat,kaz,khm,kmr,kan,kur,kir,lin,lao,lit,lav,lzh,mai,mlg,mri,mkd,mon,mar,msa,mlt,mww,mya,nob,nep,nso,ori,otq,pan,prs,pus,kin,snd,sin,slk,slv,smo,sna,som,sqi,sot,tam,tel,tir,tuk,tlh,tsn,ton,tat,tah,uig,ukr,uzb,xho,yor,yua,yue,zul
en,zh,af,ar,ca,de,el,fi,fr,ga,hi,hr,hu,id,it,ja,ko,nl,no,pl,pt,ro,ru,es,sr,sw,sv,th,tr,vi,am,as,az,bg,bn,bo,bs,cs,cy,da,dsb,dv,et,eu,fa,fil,fj,fo,gl,gom,gu,ha,he,hsb,ht,hy,ig,ikt,is,iu,ka,kk,km,kmr,kn,ku,ky,ln,lo,lt,lv,lzh,mai,mg,mi,mk,mn,mr,ms,mt,mww,my,nb,ne,nso,or,otq,pa,prs,ps,rw,sd,si,sk,sl,sm,sn,so,sq,st,ta,te,ti,tk,tlh,tn,to,tt,ty,ug,uk,uz,xh,yo,yua,yue,zu
Afghanistan,阿富汗,アフガニスタン,아프가니스탄,L'Afganistan,Afghanistan,Αφγανιστάν,Afganistan,Afghanistan,An Afganastáin,अफ़गानिस्तान,Afganistan,Afganisztán,Afghanistan,Afghanistan,アフガニスタン,아프가니스탄,Afghanistan,Afghanistan,Afganistan,Afeganistão,Afganistan,Афганистан,Afganistán,Avganistan,Afghanistani,Afghanistan,อัฟกานิสถาน,Afganistan,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,阿尔巴尼亚,アルバニア,알바니아,Albània,Albanien,Αλβανία,Albania,Albanie,An Albáin,अल्बानिया,Albanija,Albánia,Albania,Albania,アルバニア,알바니아,Albanië,Albania,Albania,Albânia,Albania,Албания,Albania,Albanija,Albania,Albanien,อัลบาเนีย,Arnavutluk,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,阿尔及利亚,アルジェリア,알제리,Algèria,Algerien,Αλγερία,Algeria,Algérie,An Ailgéir,अल्जीरिया,Alžir,Algéria,Algeria,Algeria,アルジェリア,알제리,Algerije,Algerie,Algieria,Argélia,Algeria,Алжир,Argelia,Alžir,Aljeria,Algeriet,อัลจีเรีย,Cezayir,Algérie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,美属萨摩亚,アメリカ領サモア,아메리칸사모아,Samoa Nord-americana,Amerikanisch-Samoa,Αμερικανική Σαμόα,Amerikan Samoa,Samoa américaines,Samó Mheiriceá,अमेरिकी सामोआ,Američka Samoa,Amerikai Szamoa,Samoa Amerika,Samoa americane,米領サモア,아메리칸사모아,Amerikaans-Samoa,Amerikansk Samoa,Samoa Amerykańskie,Samoa Americana,Samoa Americană,Американское Самоа,Samoa Americana,Američka Samoa,Samoa ya Marekani,Amerikanska Samoa,อเมริกันซามัว,Amerikan Samoası,Samoa thuộc Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,安道尔,アンドラ,안도라,Andorra,Andorra,Ανδόρρα,Andorra,Andorre,Andóra,अन्डोरा,Andora,Andorra,Andorra,Andorra,アンドラ,안도라,Andorra,Andorra,Andora,Andorra,Andorra,Андорра,Andorra,Andora,Andorra,Andorra,อันดอร์รา,Andorra,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,安哥拉,アンゴラ,앙골라,Angola,Angola,Αγκόλα,Angola,Angola,Angóla,अंगोला,Angola,Angola,Angola,Angola,アンゴラ,앙골라,Angola,Angola,Angola,Angola,Angola,Ангола,Angola,Angoli,Angola,Angola,แองโกลา,Angola,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,安圭拉,アンギラ,앵귈라,Anguilla,Anguilla,Ανγκουίλα,Anguilla,Anguilla,Anguilla,ऐंगुइला,Angvila,Anguilla,Anguilla,Anguilla,アンギラ,앵귈라,Anguilla,Anguilla,Anguilla,Anguilla,Anguilla,Ангилья,Anguila,Angvila,Anguilla,Anguilla,แองกวิลลา,Anguilla,Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,南极洲,南極大陸,남극대륙,Antàrtida,Antarktis,Ανταρκτική,Antarktis,Antarctique,Antartaice,अंटार्कटिका,Antarktika,Antarktisz,Antartika,Antartide,南極大陸,남극 대륙,Antarctica,Antarktis,Antarktyda,Antártida,Antarctica,Антарктида,Antártida,Antarktik,Antaktika,Antarktis,แอนตาร์กติกา,Antarktika,Châu Nam Cực,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
