hsk,word,radicals,examples,strokeCount
1,起,走己,对不起 一起 起床 起来 起飞 引起 看不起 了不起 起 起源 起初 起码 掀起 起伏 起草 起哄,10
1,果,田木,苹果 水果 如果 效果 结果 果汁 成果 果实 后果 果然 果断,8
1,热,执灬,热 热情 热闹 热心 热爱 热烈 热泪盈眶 热门 炎热 亲热,10
1,院,阝完,医院 出院 法院 国务院,9
1,四,囗儿,四 丢三落四 四肢,5
1,回,囗口,回来 回 回答 回忆 回顾 回收 回报 挽回 回避,6
1,西,兀囗,东西 西瓜 西 西红柿 东张西望,6
1,国,囗玉,中国 美国 国 国家 国际 国籍 国庆节 国王 共和国 国务院 祖国 国防,8
1,高,亠口冋,高兴 高 提高 高速公路 高级 高档 兴高采烈 崇高 高峰 高尚 高潮 高明 高涨 高超,10
1,怎,乍心,怎么样 怎么,9
1,系,丿糸,没关系 关系 联系 系领带 系统 系 体系 系列,7
1,北,匕,北京 北方 南辕北辙 北极,5
1,一,,一点儿 一 第一 一下 一起 一会儿 一共 一样 一直 一定 一般 一边 六一儿童节 一切 一辈子 一再 唯一 一致 统一 一旦 万一 一律 一目了然 一帆风顺 一如既往 不屑一顾 一丝不苟 一举两得 一度 一流 一贯 一向 一齐,1
1,七,一乚,七,2
1,三,一二,三 再三 丢三落四,3
1,上,⺊一,上午 上 晚上 早上 上班 马上 上网 上当 雪上加霜 锦上添花 不相上下 上进 上级 上游 上瘾 上任,3
1,下,一卜,下午 下雨 下面 下 一下 下载 不相上下 下属,3
1,不,一,对不起 不客气 不 不错 不但……而且…… 差不多 不得不 受不了 来不及 不过 不管 不仅 说不定 忍不住 看不起 了不起 舍不得 不要紧 不耐烦 不得了 不见得 怪不得 不断 不足 要不 不如 不行 不然 不安 迫不及待 不可思议 无微不至 微不足道 不屑一顾 一丝不苟 不言而喻 层出不穷 得不偿失 滔滔不绝 爱不释手 锲而不舍 不择手段 刻不容缓 供不应求 川流不息 有条不紊 络绎不绝 不相上下 大不了 不得已 恨不得 巴不得 不由得 不像话 不敢当 不时 不妨 不止 不禁 不堪 不顾 不免 不惜 不料 不愧 不屑,4
1,东,七小,东西 东 房东 东张西望 东道主 股东,5
1,子,了一,儿子 桌子 杯子 椅子 孩子 妻子 电子邮件 鼻子 句子 瓶子 筷子 个子 裤子 帽子 裙子 盘子 小伙子 肚子 样子 盒子 孙子 勺子 镜子 叶子 饺子 袜子 包子 袋子 一辈子 银子 日子 王子 狮子 兔子 桔子 影子 脖子 绳子 猴子 嗓子 屋子 被子 扇子 橘子 管子 叉子 盆子 竹子 梳子 尺子 夹子 种子 面子 鸽子 子弹 君子 辫子 亭子 嫂子 曲子 侄子 钩子,3
1,医,匸矢,医院 医生 医务,7
1,字,宀子,名字 汉字 字 数字 文字 字母 字幕 繁体字 简体字 赤字,6
1,个,人丨,个 个子 个人 整个 个性 个别 个体,3
1,十,一丨,十 十分 十足,2
1,中,口丨,中国 中午 中文 中间 其中 初级中学 中心 集中 中介 中旬 中央 中立 中断,4
1,午,丿干,下午 上午 中午 端午节,4
1,气,亻,不客气 天气 生气 空气 脾气 气候 力气 气氛 语气 勇气 运气 淘气 小气 朝气蓬勃 理直气壮 天然气 气质 气功 气味 氧气 风气 和气 正气 口气 气象 气势 娇气 气压 喘气 叹气 气魄 志气 福气 泄气 神气 气概 争气 气色 服气,4
1,学,⺍冖子,大学 学习 同学 学生 学校 留学 数学 科学 学期 初级中学 文学家 文学 学术 学历 化学 哲学 学问 学位 学说,8
1,么,丿厶,怎么样 什么 怎么 为什么 多么,3
1,开,一廾,开 开始 离开 开玩笑 开心 开幕式 公开 开发 开放 召开 开水 展开 开拓 开展 开采 开朗 开除 开阔 盛开 敞开 开明 开支 开辟,4
1,水,亅,水果 水 水平 矿泉水 开水 胶水 水龙头 墨水儿 洪水 水利 薪水 淡水 潜水 水泥,4
1,九,丿乙,九,2
1,习,冫,学习 复习 练习 习惯 预习 实习 习俗 演习,3
1,书,丨,书 图书馆 书架 秘书 证书 书籍 书法 书记 书面,4
1,汉,氵又,汉语 汉字,5
1,雨,帀,下雨 雨,8
1,买,乛头,买,6
1,见,冂儿,看见 再见 见面 意见 不见得 可见 见多识广 见义勇为 喜闻乐见 各抒己见 偏见 见解 罕见 见闻,4
