traditional,simplified,pronunciation,audio,radical,definitions,pos
㔂,㔂,lân,13511,刀,削掉外皮或突出的枝椏部分。,動
㔂甘蔗,㔂甘蔗,lân kam-tsià,13512,,削除、刮除甘蔗外皮的乾葉及根鬚。,動
㤉,㤉,gê,13493,心,討厭、嫌惡。,動
㤉潲,㤉潲,gê-siâu,13494,,表示討厭的粗俗用語。,動
㧌,㧌,mau,13588,手,揍、打。以拳頭或棍棒用力地打下去。|凹陷。,動|名
㧎,㧎,khê,13487,手,卡住。|不通順的、不順暢的、不和睦的。,動|形
㧒,㧒,hiat,13584,手,丟棄、亂扔。,動
㧣,㧣,tu,13488,手,推。|硬塞、推塞。|推出。指推某人做某事。|抵抗、抵擋、將就。|出言反駁、爭辯。|撅。,動|動|動|動|動|動
㧻,㧻,tok,13499,手,敲擊。,動
㨂,㨂,tàng,13489,手,用指甲掐入皮膚，使其留下指痕，產生劇痛。,動
㨂甲,㨂甲,tàng-kah,14303,,甲溝炎。指甲陷入肉中，引起周圍組織，包括兩側的旁甲溝和底部近側甲溝的細菌發炎所致，一般症狀為紅、腫、痛，嚴重時會有化膿現象。|用指甲刺探東西軟硬度。,名|動
㨑,㨑,tsang,13568,手,逮到、捉到。通常用在抓到別人的把柄。|將東西捆起來、束起來。,動|動
㨨,㨨,liû,13490,手,解開線紬或布條。,動
㨻,㨻,tsānn,13591,手,撈。將湯上面的浮渣舀掉。也指類似的動作。,動
㨻魚,㨻鱼,tsānn hî/tsānn hû,13592,,放網再拉起，然後用網杓把魚撈起。,動
㴘,㴘,bāu,13579,水,沖泡。,動
㴘麵,㴘面,bāu mī,13580,,用熱水燙熱熟麵。,動
㴙㴙滴,㴙㴙滴,tsha̍p-tsha̍p-tih,13601,,滴瀝瀝、滴個不停、滴滴答答。,動
㴙㴙落,㴙㴙落,tsha̍p-tsha̍p-lo̍h,13600,,下個不停。,動
㽎,㽎,sìm,13611,甘,上下晃動、上下彈動。指柔軟有彈性。,動
㾀,㾀,khiap,13496,疒,變壞、搞壞。|醜、不好看。,動|形
㾀勢,㾀势,khiap-sì,13497,,醜陋。容貌難看，不堪入目。,形
㾀勢命,㾀势命,khiap-sì-miā,13498,,薄命。命運不好、不佳。,名
䀐,䀐,siam,13495,目,瞄、偷看。迅速地看一下子。,動
䆀,䆀,bái,13551,禾,醜陋。|惡劣、糟糕。|差勁、不好。,形|形|形
䆀味,䆀味,bái bī,13554,,不好的味道。,形
䆀手,䆀手,bái-tshiú,13553,,左撇子。慣用左手的人。,名
䆀才,䆀才,bái-tsâi,13552,,難看。|事情不好或情況不妙。,形|形
䆀指,䆀指,bái-tsáinn,13555,,無名指。,名
䆀氣,䆀气,bái-khuì,14557,,時運不佳。也指賭博的手氣不好。,形
䆀猴,䆀猴,bái-kâu,13556,,形容長得極為醜陋或很難應付。|不容易應付的人。,形|名
䆀猴𠢕欠數。,䆀猴𠢕欠数。,Bái-kâu gâu khiàm-siàu. ,60373,,難纏的客人會賒帳。,
䆀空,䆀空,bái-khang,13872,,見【歹空】pháinn-khang 條。,
䆀豆仔,䆀豆仔,bái-tāu-á,14556,,粉豆、醜豆。和「敏豆仔」（四季豆）豆莢長度相近，同屬於豆科菜豆屬（但是豆莢很長的「菜豆仔」是豆科豇豆屬）。「敏豆仔」是圓莢型；而「䆀豆仔」是扁莢型，市面上有兩種，一種豆莢較薄，一種較厚。因為外觀易凹凸扭曲，不甚美觀，所以戲稱為「䆀豆仔」，具粉嫩口感，所以也稱為「粉豆」。,名
䖙,䖙,the,13544,虍,身體半躺臥，小憩。,動
䖙椅,䖙椅,the-í,13545,,躺椅。一種靠背較長且向後傾斜，可供人斜躺休息的椅子。,名
䖳,䖳,thē,13581,虫,水母。刺絲胞動物(腔腸動物)。身體呈現透明，上有如傘的頭蓋，其下有多隻觸角，品種繁多，常有劇毒，亦有可食者。可食者曬乾後製成「海蜇皮」，為口感爽脆富彈性的涼拌菜。,名
䘥仔,䘥仔,kah-á,13501,,背心。無袖無領的上衣。,名
䘼,䘼,ńg,13550,衣,袖子。,名
䠡,䠡,tshê,13585,足,以手撐地，臀部靠著地面，拖行前進。指瘸腿的人或嬰幼兒前進的一種方式。|雙腳或過長的衣物在地上摩擦。,動|動
䢢拄䢢,䢢拄䢢,tshiāng-tú-tshiāng,13599,,正巧、碰巧、剛剛好。,副
䫌,䫌,phué,13516,頁,臉頰或臀部整片肌肉的部分。,名
一,一,tsi̍t,1,一,數字。|全部的、整個的。|表示時間短、數量少、程度輕等。,數|形|副
一,一,it,2,一,數字。|極、最、第一的。|相同的。|整個地、全部地。,數|形|形|副
一丈差九尺。,一丈差九尺。,Tsi̍t tn̄g tsha káu tshioh. ,60004,,形容差得很遠。,
一下,一下,tsi̍t-ē,4,,動詞後綴。表示極短的時間或是短時間的動作。 |表示兩個動作間的連續狀況，相當於華語「一……就……」。|連接動詞及補語，相當於華語「得」。,|副|助
一世人,一世人,tsi̍t-sì-lâng,9,,一輩子。,名
一个人一款命。,一个人一款命。,Tsi̍t ê lâng tsi̍t khuán miā. ,60032,,人的際遇各不同，不用怨天尤人。,
一个囡仔較鬧熱三个大人。,一个囡仔较闹热三个大人。,Tsi̍t ê gín-á khah lāu jia̍t sann ê tuā-lâng. ,60033,,有小孩，家庭就會熱鬧起來。,
一个某較好三个天公祖。,一个某较好三个天公祖。,Tsi̍t ê bóo khah hó sann ê Thinn-kong-tsóo. ,60034,,家有賢妻，比什麼都好。,
一个錢拍二十四个結。,一个钱拍二十四个结。,Tsi̍t ê tsînn phah jī-tsa̍p-sì ê kat. ,60007,,譏人視錢如命，吝於用錢。,
一人一家代，公媽隨人祀。,一人一家代，公妈随人祀。,"Tsi̍t lâng tsi̍t ke tāi, kong-má suî lâng tshāi. ",60001,,意謂兄弟分家後，各管各的事互不相干。,
一人煩惱一樣，無人煩惱親像。,一人烦恼一样，无人烦恼亲像。,"Tsi̍t lâng huân-ló tsi̍t iūnn, bô-lâng huân-ló tshin-tshiūnn.",60003,,意謂家家有本難唸的經。,
一人看出一家，新婦看出大家。,一人看出一家，新妇看出大家。,"Tsi̍t lâng khuànn-tshut tsi̍t ke, sin-pū khuànn-tshut ta-ke. ",60002,,由個人看出家庭的教養，由媳婦看出婆婆的涵養。,
一代親，二代表，三代毋捌了了。,一代亲，二代表，三代毋捌了了。,"It tāi tshin, jī tāi piáu, sann tāi m̄ bat liáu-liáu. ",60013,,姻親間的往來，一代比一代疏遠。,
一來,一来,it--lâi,19,,首先。,副
一兼二顧，摸蜊仔兼洗褲。,一兼二顾，摸蜊仔兼洗裤。,"It kiam jī kòo, bong lâ-á kiam sé khòo. ",60021,,意謂一舉兩得。,
一刀兩斷,一刀两断,it-to-lióng-tuān,3,,一刀斬成兩段，比喻斷絕關係。,熟
一分錢，一分貨。,一分钱，一分货。,"Tsi̍t hun tsînn, tsi̍t hun huè. ",60006,,花多少錢，就得到價值相當的東西。,
一千賒毋值八百現。,一千赊毋值八百现。,Tsi̍t tshing sia m̄-ta̍t peh pah hiān. ,60005,,比喻做生意現金買賣比賒欠好。,
一半,一半,tsi̍t-puànn,10,,二分之一。|表示數量很少。,名|形
